host_id,host_name,host_since,host_is_superhost,host_response_time,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_identity_verified
481810956,S,2022-10-01,f,within a day,50%,,1,1,t
542442196,Somkhit,2023-10-18,f,within a day,50%,60%,1,1,t
3239688,Darlene,2012-08-12,f,within an hour,100%,50%,1,1,t
542763400,Dickson,2023-10-20,f,within an hour,100%,100%,1,1,t
302624488,Vishal,2019-10-15,f,,,,1,1,f
543047720,Jamshaid,2023-10-23,f,within an hour,100%,100%,1,1,t
178520181,Eric,2018-03-14,f,within an hour,100%,91%,6,6,t
543755582,Adebola,2023-10-27,f,within a few hours,90%,75%,2,2,t
90508671,Johnny,2016-08-17,,within a day,70%,0%,2,4,t
542901226,Yuri Mark,2023-10-22,t,within an hour,100%,100%,2,2,f
125447281,Ajiboye,2017-04-11,f,within an hour,75%,50%,2,3,t
128632363,Baher,2017-05-02,f,,,,1,1,t
35007652,Ashley,2015-06-04,f,within a day,70%,30%,53,62,t
476763761,Kingsley,2022-08-26,f,within an hour,80%,100%,2,2,t
544908095,Kathleen,2023-11-04,t,within an hour,100%,92%,1,1,f
297690302,Amritpal,2019-09-24,f,,,,1,1,f
474302683,Mark,2022-08-10,f,within an hour,100%,98%,1,1,f
545106994,Ade,2023-11-05,f,within an hour,100%,100%,1,1,f
216156641,Emmanuel,2018-09-19,f,,,,1,1,f
462098171,Elizabeth,2022-06-01,f,,,80%,1,1,t
332382744,Rui,2020-01-31,f,,,100%,1,1,t
223231161,Johanna,2018-10-29,f,within an hour,100%,78%,1,1,t
173094848,Rajkumar,2018-02-12,f,within an hour,100%,67%,1,1,f
512623693,Elisa,2023-05-01,t,within an hour,90%,90%,3,3,t
541403761,Chun Kit Jack,2023-10-11,f,within an hour,80%,63%,2,3,t
29279588,Angela,2015-03-13,f,within an hour,100%,100%,1,1,f
230348709,Jeanne,2018-12-12,t,within an hour,100%,96%,1,2,f
515906124,Abosede,2023-05-21,f,within an hour,100%,0%,1,1,t
511275159,Guriqbal,2023-04-22,f,,,,1,1,f
547009785,Esther,2023-11-17,f,a few days or more,30%,100%,2,2,t
547263400,Abimbola,2023-11-19,f,within an hour,100%,100%,1,1,t
547303645,Slava,2023-11-19,f,within an hour,100%,100%,1,1,t
98814251,Tracy,2016-10-08,f,,,0%,1,2,t
56031588,Jeremy,2016-01-25,f,within an hour,100%,100%,1,1,t
546313273,Ashley,2023-11-13,f,within a day,100%,73%,1,1,f
476039162,Luxury Rentals,2022-08-21,f,within an hour,100%,98%,2,3,t
16223797,Sivan,2014-06-01,f,,,,1,1,f
280201791,Siming,2019-07-28,f,within an hour,100%,97%,2,4,t
57657261,Michael,2016-02-06,f,within an hour,100%,94%,1,4,t
144155834,Lorena,2017-08-03,f,within an hour,100%,40%,1,1,t
385932576,Sajad,2021-01-25,f,within an hour,100%,100%,2,3,t
548989460,Jessie,2023-12-01,f,within an hour,94%,97%,1,1,t
549035431,Muhammad,2023-12-01,f,,,,3,3,f
308840957,Stacy,2019-11-12,f,within an hour,100%,100%,1,1,t
549982677,Kyle,2023-12-07,f,within a day,75%,78%,1,1,f
488542416,Fehintoluwa,2022-11-20,f,within an hour,90%,100%,3,3,t
17970668,Maya,2014-07-11,f,within a few hours,100%,100%,1,1,t
205771009,Mo,2018-07-28,t,within an hour,90%,91%,1,2,t
397628188,Tunde,2021-04-19,f,within an hour,100%,60%,1,2,t
549703601,Sabina,2023-12-06,f,,,,1,6,t
96841743,Sam,2016-09-26,f,within an hour,100%,100%,1,1,t
196744143,Yaxia,2018-06-20,f,,,100%,1,2,t
458313730,Alex,2022-05-09,f,within an hour,100%,100%,1,5,t
124427473,Joshua,2017-04-05,f,within an hour,100%,83%,1,1,t
284527620,Bisetsa,2019-08-10,f,within an hour,80%,100%,1,1,t
551002875,Neil,2023-12-14,f,within an hour,100%,80%,1,1,f
181504135,Keith,2018-03-30,f,within a few hours,100%,50%,1,1,f
461882914,Muhammad,2022-05-31,f,within a few hours,100%,,1,1,t
476753073,Abdulrasheed,2022-08-25,f,within a few hours,100%,100%,1,1,t
545472228,Reeta,2023-11-07,f,within a few hours,100%,71%,2,4,t
11663482,Amanda,2014-01-26,f,within an hour,100%,94%,1,1,t
263793096,Besal,2019-05-24,f,within an hour,80%,88%,1,4,t
380383522,Tyler,2020-12-16,f,within an hour,100%,,1,1,t
551687675,Dave,2023-12-19,f,within an hour,79%,100%,4,5,t
139480583,Yunfang,2017-07-09,f,within an hour,100%,100%,1,2,t
547150964,Joanita,2023-11-18,,,,,2,2,f
520960335,David,2023-06-19,f,within an hour,100%,63%,2,2,t
483243211,Eez,2022-10-11,f,within an hour,100%,100%,1,1,t
529867684,Alhaji Sorie,2023-08-04,f,within an hour,97%,98%,4,4,t
457945455,Sarah,2022-05-07,f,within an hour,100%,100%,1,1,f
458400671,Rahul,2022-05-10,f,within an hour,100%,100%,1,1,f
29739142,Claude,2015-03-21,f,,,,2,2,f
553141181,Dave,2023-12-28,f,,,,1,1,f
510882824,Jhocelin,2023-04-19,f,within a few hours,100%,100%,1,1,f
512890528,Jacqueline,2023-05-02,f,within an hour,100%,95%,1,1,t
15544565,Lee,2018-08-09,f,within an hour,100%,100%,1,1,t
553886560,David,2024-01-01,f,within an hour,100%,100%,1,1,f
120537912,Caitie,2017-03-13,f,within an hour,100%,95%,1,1,t
511208419,Maria,2023-04-22,f,within an hour,100%,100%,1,1,t
554369730,Eniola,2024-01-04,f,within an hour,100%,100%,1,1,f
180404391,Sumit,2018-03-25,f,within an hour,100%,0%,1,4,f
544254716,Chrystal,2023-10-31,f,within an hour,100%,88%,7,7,t
554514073,Cletus,2024-01-04,f,within an hour,100%,75%,1,1,f
554559838,Precious,2024-01-04,f,within a few hours,100%,100%,1,1,t
53506867,Sun,2016-01-05,f,within an hour,100%,0%,1,2,t
549454440,Ana,2023-12-04,f,within an hour,100%,88%,2,2,t
548462001,Ric,2023-11-27,f,within an hour,100%,96%,1,1,f
555406315,Chinyere,2024-01-09,f,within an hour,100%,100%,1,1,t
521284331,Liliane,2023-06-21,f,within a few hours,100%,,1,1,t
489146703,Renee,2022-11-25,f,within an hour,100%,100%,1,1,t
151465384,Daniel,2017-09-20,t,within an hour,100%,92%,1,4,t
557354104,Lubna,2024-01-18,f,within an hour,100%,100%,1,1,t
120218101,Sandra,2017-03-11,f,within an hour,100%,,2,2,t
354157770,Nadia,2020-07-06,f,within an hour,100%,100%,1,1,t
266231516,Julio,2019-06-04,f,within an hour,100%,100%,1,1,t
385928586,Kenneth,2021-01-25,f,within an hour,100%,94%,2,2,t
558614606,Adetunji,2024-01-25,f,within an hour,100%,100%,2,2,t
558932840,Elise,2024-01-27,f,within an hour,100%,100%,1,1,f
235946418,Rosemarie,2019-01-11,f,within an hour,100%,85%,1,1,t
520198624,Inderpreet,2023-06-15,f,within an hour,100%,100%,3,3,f
131075707,Stefanie,2017-05-19,t,within an hour,86%,83%,2,2,t
559625049,Madelaine,2024-01-31,f,within an hour,100%,100%,1,1,t
559894365,Sarwat,2024-02-01,f,within an hour,100%,80%,1,1,f
560194779,Maria,2024-02-03,f,within a day,63%,100%,1,1,f
41955944,Nicolas,2015-08-19,f,a few days or more,33%,0%,1,1,t
560791012,Afshin,2024-02-07,f,within an hour,100%,100%,1,1,f
136302609,Temitope,2017-06-21,f,within an hour,100%,100%,1,1,t
245215175,Heather,2019-02-24,f,within an hour,100%,100%,1,1,t
212427303,Christina,2018-08-29,f,within an hour,100%,100%,1,1,t
118970477,Charlene,2017-03-03,f,within a few hours,100%,100%,1,1,t
519010615,Azizul,2023-06-09,f,within a day,100%,0%,1,1,t
433834553,Ofure,2021-11-28,f,a few days or more,25%,33%,1,1,t
87892345,Gireesh,2016-08-04,f,,,,1,2,t
560414845,Moniel Place,2024-02-04,f,within an hour,100%,100%,1,1,t
476712603,Mohammed,2022-08-25,f,within an hour,80%,60%,1,1,t
563152531,Benjamin,2024-02-20,f,,,,1,1,t
38179591,Cristian,2015-07-11,f,within an hour,100%,75%,1,2,t
263946115,Jennifer,2019-05-24,f,within an hour,100%,100%,1,1,t
529575688,Cori,2023-08-03,f,within an hour,100%,,1,1,t
21330816,Jennifer,2014-09-14,f,within an hour,100%,67%,1,2,t
564561714,Stephen,2024-02-28,f,within an hour,100%,100%,1,1,t
429841661,Charles,2021-10-31,t,within an hour,100%,100%,1,2,t
270762765,Chidera,2019-06-23,f,within a few hours,100%,60%,1,1,f
215968040,Connor,2018-09-17,f,,,,1,1,t
565409634,John,2024-03-04,f,within an hour,100%,100%,1,1,t
506197353,Precs,2023-03-20,f,within a day,75%,,1,1,t
5788812,Lydia,2013-04-05,f,within a few hours,100%,0%,1,2,t
566124565,Taemie,2024-03-08,f,within an hour,100%,100%,1,1,f
288714223,Naman,2019-08-24,f,within an hour,100%,100%,1,1,t
565057795,Mark,2024-03-02,f,within a few hours,100%,100%,1,5,t
38580388,Marianna,2015-07-15,f,a few days or more,0%,0%,1,2,t
251568060,Stanley,2019-03-27,t,within a few hours,100%,93%,1,1,t
428629779,Sibongile,2021-10-23,f,within an hour,100%,90%,2,4,t
567107455,Inderjeet,2024-03-14,f,,,100%,1,1,t
567544533,Boris,2024-03-17,f,,,,1,1,t
547692838,Martin,2023-11-22,,within a few hours,100%,,2,4,t
140095930,Adekemi,2017-07-12,f,,,,1,3,f
955449,Silvio,2011-08-11,f,within a few hours,100%,69%,2,4,t
8145510,Ruth,2013-08-14,f,within an hour,100%,92%,6,6,t
4997811,Rebecca,2013-02-07,t,within an hour,100%,93%,4,4,t
970192,Colleen,2011-08-14,f,within a day,100%,40%,1,1,t
18581972,Ryan,2014-07-21,t,within an hour,100%,92%,9,13,t
23470058,K,2014-11-07,t,within an hour,100%,64%,4,23,t
71184,Hiroshi & Naomi,2010-01-17,f,within a few hours,100%,94%,1,1,t
31823352,Christene,2015-04-23,f,within an hour,100%,100%,3,6,t
33077287,Sergio,2015-05-10,t,within an hour,100%,72%,2,3,t
7608280,Gavin,2013-07-20,t,within a day,100%,50%,3,5,t
32130915,Natalie,2015-04-28,f,a few days or more,0%,0%,1,1,t
31253536,Brett,2015-04-15,f,,,100%,1,1,t
34740382,Angie,2015-06-01,t,,,100%,1,2,t
28431458,David,2015-02-27,f,a few days or more,0%,,1,1,t
35601029,Stephanie,2015-06-11,t,within a few hours,100%,98%,2,2,t
7914034,Sophie,2013-08-03,t,within an hour,100%,98%,1,1,t
20374475,Alison,2014-08-21,t,within an hour,100%,83%,3,3,t
38791285,Rose,2015-07-17,f,within a few hours,100%,76%,4,4,t
19068812,Ashley,2014-07-28,t,within an hour,100%,96%,2,2,t
42762931,Debbie,2015-08-28,f,within a day,60%,0%,2,2,t
9309064,Katherine,2013-10-08,f,within an hour,100%,67%,2,2,t
45690657,Annabel,2015-10-03,f,,,33%,1,1,f
45777946,Camelia,2015-10-04,f,,,100%,2,3,t
44955677,Wendy,2015-09-23,t,within an hour,100%,90%,1,1,t
46180149,Nkemuhuruanya (Regina),2015-10-09,f,within a few hours,100%,76%,3,3,t
46420675,Aaron,2015-10-12,f,,,25%,1,1,t
49126625,Krista,2015-11-15,f,within a few hours,80%,17%,1,1,t
17190273,Leroy,2014-06-24,f,within a few hours,100%,67%,2,6,t
43119179,Deborah,2015-09-01,f,,,,1,1,t
65535254,Tiffany,2016-04-02,f,within a few hours,100%,0%,4,5,f
42928963,Lois,2015-08-30,t,within a few hours,100%,96%,1,1,t
49214281,Philip,2015-11-16,f,within a day,67%,0%,1,2,t
88153611,Francis,2016-08-05,f,within an hour,100%,86%,3,4,t
66027644,Charles,2016-04-06,f,within a few hours,100%,,1,1,t
60400653,Karin & Mark,2016-02-25,t,within an hour,100%,99%,2,3,t
95776055,Curtis,2016-09-18,f,within an hour,96%,97%,22,34,t
97139450,Lai Guen,2016-09-28,f,within a few hours,67%,100%,1,2,t
97659537,Natalie,2016-10-02,t,within a few hours,100%,100%,2,2,t
3843389,Simone,2012-10-11,f,a few days or more,0%,0%,2,2,t
103358415,Al,2016-11-11,f,within an hour,100%,100%,4,5,t
83072651,Elizabeth,2016-07-11,t,,,100%,1,1,t
44467977,Tony & Nina,2015-09-17,t,within a few hours,100%,85%,2,2,t
110655007,Barry & Wendy,2017-01-09,t,within a few hours,100%,94%,1,1,t
120967910,Merj,2017-03-15,t,within an hour,100%,99%,3,3,t
109248901,Jianping,2016-12-31,t,within an hour,100%,78%,3,5,t
125166589,Aleta,2017-04-10,t,within an hour,100%,100%,1,1,f
64832612,Faith,2016-03-28,f,within a day,100%,64%,2,2,t
40509243,Pierre,2015-08-04,t,within an hour,100%,99%,3,3,t
11151940,Steph,2014-01-09,t,within a day,100%,84%,2,4,t
58881006,Jude,2016-02-15,t,within an hour,100%,93%,1,1,t
137416520,Mary Jay,2017-06-28,t,within an hour,100%,97%,2,2,t
114498849,Nest Host,2017-02-02,f,within an hour,100%,96%,68,81,t
76265808,Carolina,2016-06-07,f,,,0%,1,3,t
86138438,Dominique,2016-07-26,t,within an hour,100%,96%,4,21,t
141354470,Sheri,2017-07-19,t,within an hour,100%,97%,1,1,t
141392319,Matthew,2017-07-19,t,within an hour,100%,99%,1,1,t
12547985,Janique,2014-02-24,f,,,100%,1,1,t
144343801,Tammy,2017-08-04,t,within an hour,100%,99%,2,2,t
134777230,Julia,2017-06-12,t,,,98%,2,24,t
11773408,Morgan & Damon,2014-01-29,t,within an hour,100%,95%,1,1,t
103768435,William,2016-11-14,f,within a few hours,100%,,5,5,t
8332120,Johanna,2013-08-22,f,within a few hours,100%,97%,2,4,t
30905989,Stephan & Christian,2015-04-09,f,,,,1,2,t
149271769,Derek,2017-09-05,t,within an hour,100%,92%,1,1,t
455475,Dave,2011-03-21,t,within an hour,100%,97%,1,1,t
101847099,Louise,2016-10-30,f,,,100%,1,2,t
92517844,Ruth,2016-08-29,t,within an hour,100%,89%,1,2,f
81315066,Rp,2016-07-02,t,within an hour,100%,88%,3,3,t
8407330,Christie,2013-08-26,f,within an hour,100%,100%,1,1,t
159932147,Rebecca,2017-11-24,t,within an hour,100%,75%,1,1,t
160038191,Olawuyi,2017-11-25,f,within an hour,100%,81%,3,3,t
9204262,Jacqueline,2013-10-03,t,within a few hours,100%,94%,1,1,t
74203278,Roam,2016-05-26,f,within an hour,99%,99%,64,67,t
102914635,Liam,2016-11-07,t,within a few hours,100%,100%,1,1,t
8183935,Vlada,2013-08-15,t,within an hour,100%,92%,2,5,t
176861109,Montierro,2018-03-05,f,within an hour,100%,100%,4,6,f
91879760,Leith,2016-08-25,t,within a few hours,100%,100%,1,1,t
18167901,Cherie,2014-07-15,t,within an hour,100%,97%,6,7,t
183034508,Tolu,2018-04-08,t,within an hour,100%,100%,2,2,t
37841665,Kristen,2015-07-07,f,within an hour,100%,100%,1,2,t
184170702,Janice,2018-04-14,t,within an hour,100%,100%,17,18,t
53880310,Sandra,2016-01-08,f,within a day,100%,100%,1,2,t
15874551,Paige,2014-05-22,f,within a day,100%,0%,1,1,t
184891476,William Robert,2018-04-17,f,within an hour,100%,100%,1,3,t
185671079,Egilio,2018-04-22,t,within a few hours,100%,96%,2,3,t
101838697,Bryan,2016-10-30,t,within an hour,100%,100%,2,3,t
116156469,Bill And Katina,2017-02-12,t,within a day,100%,88%,3,4,t
131850887,Jordan,2017-05-24,f,,,0%,1,1,t
188495593,Harvey,2018-05-08,f,a few days or more,0%,,1,12,t
122930869,Justine,2017-03-27,f,,,80%,2,2,t
169074939,Georgina,2018-01-21,f,within an hour,100%,100%,1,1,t
190105304,Donna (& Michael),2018-05-17,t,within an hour,100%,99%,1,1,t
25893237,Lynda,2015-01-10,f,,,,1,1,t
192561013,Jemal,2018-05-30,f,within an hour,100%,95%,1,2,t
108713039,Ana,2016-12-27,f,within a day,100%,88%,2,2,t
185100371,E.Q,2018-04-19,t,within an hour,100%,95%,20,51,t
28643127,Lisa,2015-03-02,t,within an hour,100%,96%,2,4,t
201737397,Mutiu,2018-07-12,f,within an hour,100%,100%,1,3,t
90508671,Johnny,2016-08-17,f,within a day,60%,0%,3,5,t
11135988,Mary,2014-01-08,t,within an hour,90%,100%,5,5,t
123302934,Executive Stay,2017-03-29,t,within an hour,100%,99%,8,25,t
163329984,Laura,2017-12-19,t,within an hour,100%,99%,1,2,t
210390796,Iresha,2018-08-18,f,,,0%,1,1,f
108753850,Safina,2016-12-27,f,,,100%,1,2,t
116800314,Tevin,2017-02-17,t,within an hour,100%,100%,1,1,t
38109052,Michelle,2015-07-10,t,within an hour,100%,96%,2,2,t
215545724,Robert,2018-09-15,f,within an hour,100%,100%,1,1,t
217104502,Marie,2018-09-24,f,,,100%,3,4,f
70451075,Celina & David,2016-05-05,f,within an hour,100%,91%,1,1,t
222606237,Christina,2018-10-25,f,,,92%,1,1,t
199538184,Olamilekan,2018-07-02,t,within an hour,88%,95%,4,4,t
226116075,Darwin,2018-11-16,f,a few days or more,0%,25%,1,1,f
313682239,E.Q,2019-12-02,t,within an hour,100%,95%,20,21,t
155904768,Nini,2017-10-23,f,within an hour,100%,63%,1,1,t
35874282,Steady Homes,2015-06-15,f,,,0%,2,3,t
120010020,Misty,2017-03-09,f,,,0%,2,2,t
137404574,Hilda,2017-06-27,t,within a few hours,100%,100%,2,2,t
134518216,Roy,2017-06-11,f,within an hour,100%,100%,1,1,f
236337476,Roxy,2019-01-13,f,within an hour,100%,94%,1,1,t
1526411,Graham,2011-12-22,t,within an hour,100%,99%,1,1,f
69578822,MM Properties Wpg,2016-04-29,t,within an hour,100%,99%,5,5,t
238999894,Mat,2019-01-25,f,within an hour,100%,81%,3,3,t
82573513,Evan Chase,2016-07-08,t,within an hour,100%,90%,1,1,t
203874825,Fatima,2018-07-20,t,within an hour,100%,85%,3,3,t
66518418,Alyssa,2016-04-09,f,within an hour,100%,0%,1,2,t
206946214,Melanie,2018-08-02,f,,,,3,5,t
246644202,Kiran,2019-03-03,f,within a day,50%,0%,1,1,t
249669972,Crystal,2019-03-18,t,within a few hours,100%,97%,3,5,t
98927265,Pawan,2016-10-09,f,,,0%,1,1,t
255844093,Katherin,2019-04-14,f,,,,1,5,f
28742332,Randy,2015-03-04,f,within an hour,100%,96%,1,1,t
81950151,Laksiri,2016-07-05,t,within an hour,100%,100%,1,1,t
177487885,Ling,2018-03-09,f,within an hour,100%,100%,2,3,t
133026564,Vishal,2017-06-01,f,within an hour,100%,100%,1,3,t
38459934,Corporate Stays,2015-07-14,f,within a few hours,89%,86%,466,560,t
261799192,Wendelina,2019-05-14,t,within an hour,100%,81%,4,5,t
251997834,Brenda,2019-03-29,f,within an hour,100%,100%,2,2,t
227205574,Joseph,2018-11-23,f,within an hour,100%,92%,1,7,t
45170705,Karen,2015-09-26,f,,,73%,1,1,t
194010985,Yang,2018-06-07,f,within an hour,100%,94%,3,3,t
267961977,Greenview,2019-06-11,f,within a few hours,63%,100%,1,1,t
192346927,Ken And Els,2018-05-29,t,within an hour,100%,93%,2,3,t
17653348,Moshe,2014-07-04,f,,,,1,1,t
277396359,Ruth Grace,2019-07-19,t,within an hour,100%,100%,1,1,t
2292373,Dallas And Carla,2012-05-04,t,within a few hours,100%,82%,4,8,t
250960597,Chris & Courtney,2019-03-24,t,within an hour,100%,97%,3,3,t
280201791,Siming,2019-07-28,f,within an hour,100%,95%,2,5,t
39728595,Jess,2015-07-27,f,,,,1,1,t
281574286,Sean,2019-08-01,t,within an hour,100%,99%,1,1,t
282140527,Julie Ann,2019-08-03,f,within an hour,100%,94%,3,3,f
65125757,Mike,2016-03-30,f,within an hour,100%,98%,3,3,t
36084423,Maggie,2015-06-17,t,within an hour,100%,100%,5,6,t
83638615,Chris,2016-07-14,t,within an hour,100%,90%,4,4,t
108722007,Denis,2016-12-27,t,within an hour,100%,100%,1,1,t
170362793,Nicole,2018-01-28,t,within a few hours,100%,100%,1,2,t
293745142,"Martina, Bruce, And Lauren",2019-09-10,t,within an hour,100%,92%,1,1,t
55013632,Karen,2016-01-17,f,within a day,90%,82%,1,2,t
5626785,Caroline,2013-03-25,f,within a day,50%,0%,1,1,t
163478285,Lateef,2017-12-20,f,,,,1,1,t
141801009,Criselda,2017-07-22,t,within a day,75%,96%,2,6,t
304904186,Kelly,2019-10-27,t,within an hour,100%,97%,6,7,t
119176808,Annie,2017-03-04,t,within a day,100%,69%,2,2,t
62123717,Jeremie,2016-03-08,f,within an hour,100%,100%,2,2,t
3127896,Leah,2012-08-01,f,,,100%,1,1,t
307597595,Kemy,2019-11-06,f,,,100%,3,3,t
273419083,Elizabeth,2019-07-03,f,within an hour,100%,99%,4,6,t
309608502,David,2019-11-14,t,within an hour,100%,98%,7,9,t
44203845,Kat,2015-09-14,f,a few days or more,0%,17%,1,4,t
314438876,Larry,2019-12-04,t,,,100%,1,1,t
568999,Chelsea,2011-05-08,f,within an hour,100%,98%,3,4,t
184981743,Alan And Loida,2018-04-18,t,within an hour,100%,88%,3,3,t
77723885,Helena,2016-06-14,t,within an hour,100%,98%,3,7,t
329107669,Navneet,2020-01-19,f,within an hour,100%,0%,1,1,f
325617908,Ashley,2020-01-08,t,within an hour,100%,94%,5,8,t
340959175,Temi,2020-03-09,t,within an hour,100%,100%,1,1,t
95312694,Azeez,2016-09-15,f,within a few hours,100%,89%,2,2,t
341920704,Sylvester,2020-03-18,t,within an hour,100%,94%,3,3,t
294422265,Susana,2019-09-12,f,within a few hours,100%,100%,1,1,t
225427538,Ranjit,2018-11-12,f,within an hour,100%,100%,1,1,t
348144031,Sheriff,2020-05-31,t,within an hour,100%,100%,5,5,t
139114267,Marco,2017-07-07,t,within an hour,90%,98%,1,1,t
50697287,Amos,2015-12-07,f,within an hour,100%,100%,2,2,t
298357507,Kevin,2019-09-27,t,within an hour,100%,90%,4,9,t
178683307,Casey,2018-03-15,f,within an hour,90%,99%,4,4,t
359352320,Temmie,2020-07-29,f,,,50%,1,1,t
135314777,James,2017-06-16,f,within an hour,100%,83%,2,4,t
179270530,Kokeb,2018-03-19,f,within a day,67%,0%,1,1,t
56931981,Wally,2016-02-01,f,,,100%,2,2,t
27563486,Luisa & Jayme,2015-02-10,t,within an hour,100%,88%,1,2,t
367842552,Abdul,2020-09-16,f,within an hour,100%,100%,2,5,t
210203810,Andrew,2018-08-17,t,within an hour,100%,96%,1,2,t
41109580,Ritz,2015-08-10,t,within an hour,100%,99%,5,11,t
18807536,Margherita,2014-07-24,t,within an hour,100%,94%,1,1,t
14735297,Eunice,2014-04-25,t,within an hour,100%,97%,1,1,t
263787117,Alex,2019-05-23,f,within a few hours,100%,0%,1,2,t
113426,Azouz,2010-04-25,f,within an hour,100%,,1,2,t
25149836,Ben & Paige,2014-12-23,t,within an hour,100%,97%,1,4,t
371072492,Yuliya,2020-10-07,f,within an hour,100%,99%,2,2,t
374493257,Lianlong,2020-11-04,f,within a day,67%,63%,3,4,f
251853488,Cindy,2019-03-28,f,a few days or more,0%,0%,2,2,t
375945409,David Jeffrey,2020-11-16,t,within an hour,100%,100%,4,7,t
374292404,Samuel,2020-11-03,t,within an hour,100%,95%,13,13,t
301681807,Olu,2019-10-11,t,within an hour,100%,99%,3,3,t
66841218,Saad,2016-04-12,f,,,50%,2,2,t
368562151,Branden,2020-09-21,t,within an hour,100%,99%,7,7,t
384678077,Ifeoluwa,2021-01-15,f,within an hour,100%,97%,1,1,t
256637440,Anthony,2019-04-18,t,within an hour,100%,96%,1,1,t
330159,Dylan,2010-12-29,f,,,0%,1,1,t
54783332,Vialux,2016-01-15,f,within an hour,100%,97%,59,61,t
382062578,Busuyi,2020-12-28,f,,,0%,1,1,t
122487701,Abi,2017-03-25,t,within an hour,100%,100%,2,2,t
254141373,Jasmeet,2019-04-08,f,within an hour,100%,96%,1,2,t
390125063,Andrea,2021-02-25,f,within an hour,100%,94%,8,8,t
221208841,Carmen,2018-10-17,f,,,100%,1,1,t
330962278,Abiodun,2020-01-26,f,,,0%,1,1,t
394195167,Ngozi,2021-03-25,f,within an hour,100%,100%,3,3,t
243723924,Amy,2019-02-17,t,within an hour,100%,92%,1,2,t
92641804,Nathan,2016-08-30,t,within an hour,100%,97%,2,2,t
44966488,Farah,2015-09-23,t,within a few hours,100%,78%,1,1,t
12859373,Maria,2014-03-06,t,within a few hours,100%,100%,1,2,t
393587370,Paul And Priscilia,2021-03-21,f,within an hour,100%,94%,1,2,t
396535383,Tetsoma,2021-04-11,f,within a few hours,100%,100%,2,3,t
396126223,Jaime,2021-04-08,f,within an hour,100%,78%,7,8,t
398054402,Rena,2021-04-21,f,within an hour,100%,98%,1,1,t
135675567,Marina,2017-06-18,f,,,100%,3,3,t
38677990,Jeremie,2015-07-16,f,within a day,100%,,1,1,f
145896090,Victoria,2017-08-14,f,within a few hours,100%,43%,2,2,t
124913178,Nardia,2017-04-08,f,within an hour,100%,96%,9,20,t
392855589,Katie,2021-03-16,t,within a few hours,100%,100%,2,3,t
9711247,Mitchell,2013-10-29,t,within an hour,100%,94%,1,1,t
64679900,Kareem,2016-03-27,f,within an hour,100%,0%,1,5,t
92041318,Gen,2016-08-26,f,within an hour,100%,88%,1,1,t
394055253,Joanna,2021-03-24,f,within an hour,100%,100%,1,1,t
409922617,Rana,2021-06-29,f,within an hour,100%,100%,1,3,f
193471837,Josiah,2018-06-04,f,within an hour,100%,86%,1,4,t
257456574,Erin,2019-04-22,t,within an hour,100%,97%,1,1,t
80006742,Darin,2016-06-26,f,within a day,100%,100%,1,3,f
411956867,Jenny,2021-07-09,t,within an hour,100%,99%,1,3,t
181988294,Ivan,2018-04-02,f,within a day,100%,0%,1,1,t
28288189,Desneige,2015-02-24,t,within an hour,100%,100%,1,1,t
413186240,Leila,2021-07-15,f,within an hour,100%,68%,7,17,t
164533656,Terry Junhua,2017-12-27,t,within an hour,90%,100%,1,7,t
411970522,Lanre,2021-07-09,f,within an hour,100%,82%,3,3,t
387441461,Salvatory,2021-02-05,f,,,0%,2,2,t
74224801,Brad,2016-05-26,f,within an hour,100%,100%,11,13,t
42420246,Annette,2015-08-24,f,within an hour,100%,0%,2,5,t
287107029,Lewis,2019-08-19,f,within an hour,100%,100%,2,2,t
379822752,Ola,2020-12-12,f,within an hour,100%,,1,1,t
419592825,Sylvia,2021-08-22,t,within an hour,100%,92%,1,1,t
420511753,Babatola,2021-08-28,f,within an hour,100%,67%,4,4,t
22019791,Anne Denisse,2014-10-01,t,within an hour,100%,100%,2,3,t
371824573,Shereen,2020-10-13,t,within an hour,100%,100%,2,3,t
20534721,Ryan,2014-08-25,f,,,,1,2,t
292051659,Benedicta,2019-09-04,t,within an hour,100%,93%,1,4,t
423619219,Remi,2021-09-18,f,within an hour,100%,0%,1,3,t
134395448,Robyn,2017-06-10,t,within an hour,100%,99%,20,37,t
424777761,Alex,2021-09-27,t,within an hour,100%,99%,1,6,t
76538863,Sophia,2016-06-08,t,within a few hours,100%,91%,2,2,t
425172625,Getaway,2021-09-29,t,within an hour,100%,100%,2,2,t
426338917,Liam,2021-10-07,f,within an hour,100%,94%,1,1,t
361310476,Gustave,2020-08-09,f,,,95%,3,3,t
72157932,Wpg,2016-05-15,f,within an hour,100%,98%,25,25,t
54207218,Zachary,2016-01-11,t,within an hour,96%,100%,2,2,t
365974118,Elyse,2020-09-04,f,within an hour,100%,100%,5,28,t
289694152,Ak,2019-08-27,f,within an hour,100%,18%,1,1,t
161647684,Jarek,2017-12-06,t,within an hour,100%,92%,1,1,t
52093594,Benil,2015-12-23,f,within a day,100%,88%,2,3,t
395850022,Jessica,2021-04-06,f,within an hour,100%,89%,3,7,t
83763635,Gilles,2016-07-14,t,within an hour,100%,100%,4,5,t
26506986,Lorrainne,2015-01-21,t,within an hour,100%,100%,7,8,t
4858628,Glenda,2013-01-26,t,within an hour,100%,100%,1,1,t
